"","id","name","popularity","followers.total","genres","type","total_num_songs"
"1","4dpARuHxo51G3z768sgnrY","Adele",96,32648847,"british soul;pop;pop soul;uk pop","billboard",72
"2","06HL4z0CvFAxyc27GXpf02","Taylor Swift",100,47402350,"pop","billboard",400
"3","1GxkXlMwML1oSg5eLPiAz3","Michael Bublé",93,4946168,"adult standards;canadian pop;jazz pop;lounge","billboard",188
"4","6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran",97,90286453,"pop;uk pop","billboard",203
"5","4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey",90,7339744,"dance pop;pop;urban contemporary","billboard",647
"6","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",92,12127198,"pop","billboard",31
"7","4sj6D0zlMOl25nprDJBiU9","Andy Williams",83,403019,"adult standards;easy listening","billboard",551
"8","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",95,13966217,"dance pop;pop","billboard",75
"9","6ZjFtWeHP9XN7FeKSUe80S","Bing Crosby",87,385541,"adult standards;easy listening","billboard",1099
"10","4MCBfE4596Uoi2O4DtmEMz","Juice WRLD",97,21556065,"chicago rap;melodic rap","billboard",114
"11","7v4imS0moSyGdXyLgVTIV7","Nat King Cole",85,1738938,"adult standards","billboard",1263
"12","4ytkhMSAnrDP8XzRNlw9FS","Vince Guaraldi Trio",80,108185,"adult standards;jazz trio","billboard",92
"13","1uNFoZAHBGtllmzznpCI3s","Justin Bieber",98,54892045,"canadian pop;pop","billboard",203
"14","26AHtbjWKiwYzsoGoUZq53","Pentatonix",86,3196573,"a cappella","billboard",168
"15","757aE44tKEUQEqRuT6GnEB","Roddy Ricch",87,7316899,"melodic rap;rap;trap","billboard",55
"16","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",93,54782843,"art pop;electropop;pop","billboard",61
"17","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",97,40171197,"canadian contemporary r&b;canadian pop;pop","billboard",165
"18","4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen",87,2710070,"contemporary country","billboard",64
"19","3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson",86,8335903,"dance pop;pop;post-teen pop;talent show","billboard",333
"20","3WrFJ7ztbogyGnTHbHJFl2","The Beatles",90,21552128,"beatlesque;british invasion;classic rock;merseybeat;psychedelic rock;rock","billboard",NA
"21","1Mxqyy3pSjf8kZZL4QVxS0","Frank Sinatra",89,5291744,"adult standards;easy listening;lounge","billboard",913
"22","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",96,73968982,"dance pop;pop","billboard",151
"23","0MHgLfmQdutffmvWe5XBTN","Burl Ives",79,64968,"adult standards;american folk revival","billboard",682
"24","3TVXtAsR1Inumwj472S9r4","Drake",98,59867520,"canadian hip hop;canadian pop;hip hop;rap;toronto rap","billboard",251
"25","4cPHsZM98sKzmV26wlwD2W","Brenda Lee",83,246088,"adult standards;brill building pop","billboard",459
"26","718COspgdWOnwOFpJHRZHS","Luke Combs",84,5985695,"contemporary country;country","billboard",49
"27","49e4v89VmlDcFCMyDv9wQ9","Dean Martin",85,1221747,"adult standards;easy listening;lounge","billboard",761
"28","7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X",92,8625662,"lgbtq+ hip hop;pop","billboard",34
"29","38EmEgXkgK51MT2tPY0EoC","Bobby Helms",81,24119,"adult standards","billboard",179
"30","0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",87,5406999,"hip hop;ohio hip hop;pop rap;rap","billboard",211
"31","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa",94,31031150,"dance pop;pop;uk pop","billboard",236
"32","4xFUf1FHVy696Q1JQZMTRj","Carrie Underwood",77,4933479,"contemporary country;country;country dawn;country road;oklahoma country;post-teen pop","billboard",143
"33","4YLtscXsxbVgi031ovDDdh","Chris Stapleton",81,3903805,"contemporary country;outlaw country","billboard",53
"34","5ixB75BQR3ADoWQkcHQJTs","Gene Autry",74,46753,"adult standards;cowboy western;oklahoma country;traditional country;yodeling","billboard",548
"35","3PhoLpVuITZKcymswpck5b","Elton John",91,8464733,"glam rock;mellow gold;piano rock","billboard",1155
"36","2Waw2sSbqvAwK8NwACNjVo","Bo Burnham",78,1324214,"comic","billboard",NA
"37","3Nrfpe0tUJi4K4DXYWgMUX","BTS",97,43579619,"k-pop;k-pop boy group","billboard",301
"38","3hcs9uc56yIGFCSy9leWe7","Lil Durk",89,3409980,"chicago drill;chicago rap;drill;hip hop;rap;trap","billboard",304
"39","5OSQDUNmll299ldFIF1Dau","Trans-Siberian Orchestra",72,261500,"adult standards;neo classical metal;progressive metal","billboard",180
"40","391oLRVmoTkumiN79HkTWu","Darlene Love",77,42549,"adult standards;brill building pop;motown","billboard",109
"41","5lpH0xAS4fVfLkACg9DAuM","Wham!",84,1788964,"new wave pop","billboard",28
"42","4yvcSjfu4PC0CYQyLy4wSq","Glass Animals",87,2301585,"gauze pop;indietronica;shiver pop","billboard",84
"43","7f4ignuCJhLXfZ9giKT7rH","NCT 127",77,4899844,"k-pop;k-pop boy group","billboard",111
"44","5v8jlSmAQfrkTjAlpUfWtu","Perry Como",80,372867,"adult standards;brill building pop;easy listening","billboard",453
"45","7K78lVZ8XzkjfRSI7570FF","José Feliciano",80,265085,"latin pop;puerto rican pop","billboard",600
"46","0ECwFtbIWEVNwjlrfc6xoL","Eagles",81,7530309,"album rock;classic rock;country rock;folk rock;heartland rock;mellow gold;rock;soft rock;yacht rock","billboard",NA
"47","7CyeXFnOrfC1N6z4naIpgo","The Ronettes",80,191892,"adult standards;brill building pop;classic girl group;motown;soul","billboard",48
"48","2VSHKHBTiXWplO8lxcnUC9","GAYLE",85,173291,NA,"billboard",14
"49","7sKxqpSqbIzphAKAhrqvlf","Walker Hayes",73,381715,"contemporary country;country;country road;modern country rock","billboard",64
"50","5f7VJjfbwm532GiveGC0ZK","Lil Baby",93,9159616,"atl hip hop;atl trap;rap;trap","billboard",165
"51","0du5cEVh5yTK9QJze8zA0C","Bruno Mars",93,36780072,"dance pop;pop","billboard",75
"52","7tYKF4w9nC0nq9CsPZTHyP","SZA",89,6886570,"pop;r&b;rap","billboard",74
"53","246dkjvS1zLTtiykXe5h60","Post Malone",92,35401796,"dfw rap;melodic rap;rap","billboard",71
"54","2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar",90,18996425,"conscious hip hop;hip hop;rap;west coast rap","billboard",123
"55","43ZHCT0cAZBISjO8DG9PnE","Elvis Presley",85,6160935,"adult standards;rock-and-roll;rockabilly","billboard",1608
"56","6KImCVD70vtIoJWnq6nGn3","Harry Styles",87,18339888,"pop","billboard",NA
"57","6AgTAQt8XS6jRWi4sX7w49","Polo G",92,6286799,"chicago rap","billboard",76
"58","3oDbviiivRWhXwIE8hxkVV","The Beach Boys",79,3447936,"baroque pop;brill building pop;classic rock;psychedelic rock;rock;sunshine pop","billboard",978
"59","46SHBwWsqBkxI7EeeBEQG7","Kodak Black",85,7623909,"florida rap;hip hop;melodic rap;miami hip hop;rap;trap","billboard",210
"60","2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI",91,3128543,"australian hip hop","billboard",48
"61","6l3HvQ5sa6mXTsMTB19rO5","J. Cole",90,15424187,"conscious hip hop;hip hop;north carolina hip hop;rap","billboard",167
"62","2yrbLiuBmc9j81lTX3XUuI","The Jacksons",65,1279831,"disco;funk;motown;quiet storm;soul","billboard",72
"63","7gOdHgIoIKoe4i9Tta6qdD","Jonas Brothers",83,5870909,"boy band;dance pop;pop;post-teen pop","billboard",127
"64","293zczrfYafIItmnmM3coR","Chuck Berry",76,1521214,"blues rock;classic rock;rock;rock-and-roll;rockabilly;soul","billboard",320
"65","7n2Ycct7Beij7Dj7meI4X0","TWICE",87,11858041,"k-pop;k-pop girl group","billboard",257
"66","7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder",82,5417438,"adult standards;motown;quiet storm;soul","billboard",508
"67","3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak",87,2065547,"escape room","billboard",158
"68","3oSJ7TBVCWMDMiYjXNiCKE","Kane Brown",79,3802038,"black americana;contemporary country;country road","billboard",85
"69","53XhwfbYqKCa1cC15pYq2q","Imagine Dragons",92,37506240,"modern rock;rock","billboard",131
