"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"1","6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran",97,90286453,"pop;uk pop","billboard",203,"pop",144,4291443.47248946,0.18907246505907
"2","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",96,73968982,"dance pop;pop","billboard",151,"pop",87,2028155.32595732,0.183677877024065
"3","3TVXtAsR1Inumwj472S9r4","Drake",98,59867520,"canadian hip hop;canadian pop;hip hop;rap;toronto rap","billboard",251,"hip hop, rap",123,623913.727574887,0.557868191832873
"4","1uNFoZAHBGtllmzznpCI3s","Justin Bieber",98,54892045,"canadian pop;pop","billboard",203,"pop",123,1652099.8199766,0.327300554235281
"5","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",93,54782843,"art pop;electropop;pop","billboard",61,"pop",17,68037.0555136161,0.0213470047292648
"6","7dGJo4pcD2V6oG8kP0tJRR","Eminem",94,50817854,"detroit hip hop;hip hop;rap","billboard",311,"hip hop, rap",103,1583019.01434027,0.226716432194409
"7","06HL4z0CvFAxyc27GXpf02","Taylor Swift",100,47402350,"pop","billboard",400,"pop",39,524451.245317142,0.0279962428365905
"8","5pKCCKE2ajJHZ9KAiaK11H","Rihanna",91,46460543,"barbadian pop;dance pop;pop;pop rap;urban contemporary","billboard",389,"hip hop, rap",139,1704043.18829851,0.214001378095842
"9","3Nrfpe0tUJi4K4DXYWgMUX","BTS",97,43579619,"k-pop;k-pop boy group","billboard",301,"pop",38,182039.009373441,0.0627231343498305
"10","4q3ewBCX7sLwd24euuV69X","Bad Bunny",99,41573896,"latin;reggaeton;trap latino","billboard",144,"latin",131,715834.283322713,0.175557858705957
"11","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",97,40171197,"canadian contemporary r&b;canadian pop;pop","billboard",165,"jazz, soul, r&b",72,1008003.16907395,0.297544988035104
"12","1dfeR4HaWDbWqFHLkxsg1d","Queen",90,38873187,"classic rock;glam rock;rock","billboard",562,"rock",11,109217.720764491,0.000487707980556503
