"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"1","3TVXtAsR1Inumwj472S9r4","Drake",100,58101040,"canadian hip hop;canadian pop;hip hop;rap;toronto rap","billboard",514,"pop",122,615084.020912388,0.557520747317732
"2","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",92,9426993,"pop","billboard",48,"pop",5,10,0
"3","6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran",95,86631048,"pop;uk pop","billboard",353,"pop",129,3037064.03676367,0.187661859943364
"4","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",95,11204192,"dance pop;pop","billboard",146,"pop",53,271199.526094693,0.137951838823124
"5","4Gso3d4CscCijv0lmajZWs","Don Toliver",87,1787051,"pop;rap;trap","billboard",89,"pop",26,68935.9363541679,0.070491537237328
"6","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",95,37725248,"canadian contemporary r&b;canadian pop;pop","billboard",348,"jazz, soul, r&b",69,960962.962276457,0.291446576483254
"7","1uNFoZAHBGtllmzznpCI3s","Justin Bieber",97,51894835,"canadian pop;pop","billboard",291,"pop",118,1634296.62553078,0.323069486415322
"8","7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X",94,7065887,"lgbtq+ hip hop;pop","billboard",85,"pop",23,117301.820958506,0.0557602026405807
"9","06HL4z0CvFAxyc27GXpf02","Taylor Swift",96,44384917,"pop","billboard",687,"pop",39,534281.448436685,0.0284221409983972
"10","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa",93,29088517,"dance pop;pop;uk pop","billboard",391,"pop",148,2636744.15812266,0.10956082047121
"11","718COspgdWOnwOFpJHRZHS","Luke Combs",83,5682681,"contemporary country;country","billboard",68,"country",9,22875.1721796112,8.80523297434748e-05
"12","3Nrfpe0tUJi4K4DXYWgMUX","BTS",96,40387642,"k-pop;k-pop boy group","billboard",550,"pop",32,139338.016548573,0.0421101150156
