"","id","name","popularity","followers.total","genres","type","total_num_songs"
"1","3TVXtAsR1Inumwj472S9r4","Drake",100,58101040,"canadian hip hop;canadian pop;hip hop;rap;toronto rap","billboard",514
"2","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",92,9426993,"pop","billboard",48
"3","6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran",95,86631048,"pop;uk pop","billboard",353
"4","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",95,11204192,"dance pop;pop","billboard",146
"5","4Gso3d4CscCijv0lmajZWs","Don Toliver",87,1787051,"pop;rap;trap","billboard",89
"6","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",95,37725248,"canadian contemporary r&b;canadian pop;pop","billboard",348
"7","1uNFoZAHBGtllmzznpCI3s","Justin Bieber",97,51894835,"canadian pop;pop","billboard",291
"8","7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X",94,7065887,"lgbtq+ hip hop;pop","billboard",85
"9","06HL4z0CvFAxyc27GXpf02","Taylor Swift",96,44384917,"pop","billboard",687
"10","6M2wZ9GZgrQXHCFfjv46we","Dua Lipa",93,29088517,"dance pop;pop;uk pop","billboard",391
"11","718COspgdWOnwOFpJHRZHS","Luke Combs",83,5682681,"contemporary country;country","billboard",68
"12","3Nrfpe0tUJi4K4DXYWgMUX","BTS",96,40387642,"k-pop;k-pop boy group","billboard",550
"13","7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again",87,7680553,"baton rouge rap;trap","billboard",477
"14","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",94,50852820,"electropop;pop","billboard",84
"15","20sxb77xiYeusSH8cVdatc","Meek Mill",84,5498056,"hip hop;philly rap;pop rap;rap;southern hip hop;trap","billboard",642
"16","4dpARuHxo51G3z768sgnrY","Adele",93,30044484,"british soul;pop;pop soul;uk pop","billboard",181
"17","4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen",84,2410638,"contemporary country","billboard",162
"18","7sKxqpSqbIzphAKAhrqvlf","Walker Hayes",73,342755,"contemporary country;country;country road;modern country rock","billboard",73
"19","5f7VJjfbwm532GiveGC0ZK","Lil Baby",92,8510070,"atl hip hop;atl trap;rap;trap","billboard",232
"20","6YVMFz59CuY7ngCxTxjpxE","aespa",76,973910,"k-pop;k-pop girl group","billboard",12
"21","2LIk90788K0zvyj2JJVwkJ","Jack Harlow",90,1253780,"deep underground hip hop;kentucky hip hop;pop rap;rap","billboard",143
"22","4YLtscXsxbVgi031ovDDdh","Chris Stapleton",79,3677499,"contemporary country;outlaw country","billboard",64
"23","5K4W6rqBFWDnAN6FQUkS6x","Kanye West",95,15433148,"chicago rap;rap","billboard",468
"24","6l3HvQ5sa6mXTsMTB19rO5","J. Cole",90,14759827,"conscious hip hop;hip hop;north carolina hip hop;rap","billboard",304
"25","6y8XlgIV8BLlIg1tT1R10i","Old Dominion",73,1082237,"contemporary country;country;country road","billboard",104
"26","2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI",92,2740668,"australian hip hop","billboard",198
"27","246dkjvS1zLTtiykXe5h60","Post Malone",91,34561709,"dfw rap;melodic rap;rap","billboard",115
"28","0urTpYCsixqZwgNTkPJOJ4","Aaliyah",69,2903575,"dance pop;hip pop;pop;pop rap;r&b;urban contemporary","billboard",165
"29","6KImCVD70vtIoJWnq6nGn3","Harry Styles",87,17216622,"pop","billboard",31
"30","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",93,70657637,"dance pop;pop","billboard",367
"31","3oSJ7TBVCWMDMiYjXNiCKE","Kane Brown",80,3658706,"contemporary country;country;country road","billboard",92
"32","1HY2Jd0NmPuamShAr6KMms","Lady Gaga",87,19585917,"dance pop;pop","billboard",610
"33","3tJoFztHeIJkJWMrx0td2f","Moneybagg Yo",81,2404879,"hip hop;memphis hip hop;rap;southern hip hop;tennessee hip hop;trap","billboard",480
"34","4gzpq5DPGxSnKTe4SA8HAU","Coldplay",93,32321523,"permanent wave;pop","billboard",500
"35","4MCBfE4596Uoi2O4DtmEMz","Juice WRLD",93,20245183,"chicago rap;melodic rap","billboard",171
"36","2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar",90,18540706,"conscious hip hop;hip hop;rap;west coast rap","billboard",363
"37","711MCceyCBcFnzjGY4Q7Un","AC/DC",84,21023516,"australian rock;hard rock;rock","billboard",217
