"","week","rank","artist","weeks_on_chart"
"1",2022-01-01,"1","Adele","265"
"2",2022-01-01,"2","Taylor Swift","387"
"3",2022-01-01,"3","Michael Buble","64"
"4",2022-01-01,"4","Ed Sheeran","384"
"5",2022-01-01,"5","Mariah Carey","62"
"6",2022-01-01,"6","Olivia Rodrigo","50"
"7",2022-01-01,"7","Andy Williams","41"
"8",2022-01-01,"8","Doja Cat","101"
"9",2022-01-01,"9","Bing Crosby","47"
"10",2022-01-01,"10","Juice WRLD","188"
"11",2022-01-01,"11","Nat King Cole","35"
"12",2022-01-01,"12","Vince Guaraldi Trio","41"
"13",2022-01-01,"13","Justin Bieber","357"
"14",2022-01-01,"14","Pentatonix","85"
"15",2022-01-01,"15","Roddy Ricch","106"
"16",2022-01-01,"16","Billie Eilish","174"
"17",2022-01-01,"17","The Weeknd","337"
"18",2022-01-01,"18","Morgan Wallen","146"
"19",2022-01-01,"19","Kelly Clarkson","100"
"20",2022-01-01,"20","The Beatles","214"
"21",2022-01-01,"21","Frank Sinatra","47"
"22",2022-01-01,"22","Ariana Grande","359"
"23",2022-01-01,"23","Burl Ives","42"
"24",2022-01-01,"24","Drake","391"
"25",2022-01-01,"25","Brenda Lee","32"
"26",2022-01-01,"26","Luke Combs","251"
"27",2022-01-01,"27","Dean Martin","29"
"28",2022-01-01,"28","Lil Nas X","105"
"29",2022-01-01,"29","Bobby Helms","22"
"30",2022-01-01,"30","Kid Cudi","19"
"31",2022-01-01,"31","Dua Lipa","190"
"32",2022-01-01,"32","Carrie Underwood","262"
"33",2022-01-01,"33","Chris Stapleton","322"
"34",2022-01-01,"34","Gene Autry","32"
"35",2022-01-01,"35","Elton John","90"
"36",2022-01-01,"36","Bo Burnham","7"
"37",2022-01-01,"37","BTS","272"
"38",2022-01-01,"38","Lil Durk","75"
"39",2022-01-01,"39","Trans-Siberian Orchestra","50"
"40",2022-01-01,"40","Darlene Love","14"
"41",2022-01-01,"41","Wham!","26"
"42",2022-01-01,"42","Glass Animals","45"
"43",2022-01-01,"43","NCT","22"
"44",2022-01-01,"44","Perry Como","18"
"45",2022-01-01,"45","Jose Feliciano","19"
"46",2022-01-01,"46","Eagles","148"
"47",2022-01-01,"47","The Ronettes","16"
"48",2022-01-01,"48","GAYLE","5"
"49",2022-01-01,"49","Walker Hayes","37"
"50",2022-01-01,"50","Lil Baby","189"
"51",2022-01-01,"51","Bruno Mars","369"
"52",2022-01-01,"52","SZA","122"
"53",2022-01-01,"53","Post Malone","287"
"54",2022-01-01,"54","Kendrick Lamar","312"
"55",2022-01-01,"55","Elvis Presley","79"
"56",2022-01-01,"56","Harry Styles","130"
"57",2022-01-01,"57","Polo G","102"
"58",2022-01-01,"58","The Beach Boys","18"
"59",2022-01-01,"59","Kodak Black","100"
"60",2022-01-01,"60","The Kid LAROI","60"
"61",2022-01-01,"61","J. Cole","261"
"62",2022-01-01,"62","The Jacksons","9"
"63",2022-01-01,"63","Jonas Brothers","115"
"64",2022-01-01,"64","Chuck Berry","11"
"65",2022-01-01,"65","TWICE","11"
"66",2022-01-01,"66","Stevie Wonder","7"
"67",2022-01-01,"67","Anderson .Paak","36"
"68",2022-01-01,"68","Kane Brown","235"
"69",2022-01-01,"69","Imagine Dragons","354"
"70",2022-01-01,"70","Johnny Mathis","22"
"71",2022-01-01,"71","Queen","191"
"72",2022-01-01,"72","Led Zeppelin","90"
"73",2022-01-01,"73","Nirvana","85"
"74",2022-01-01,"74","Moneybagg Yo","84"
"75",2022-01-01,"75","Jason Aldean","367"
"76",2022-01-01,"76","Dan + Shay","209"
"77",2022-01-01,"77","Fleetwood Mac","142"
"78",2022-01-01,"78","ABBA","16"
"79",2022-01-01,"79","Travis Scott","294"
"80",2022-01-01,"80","Metallica","318"
"81",2022-01-01,"81","Blake Shelton","348"
"82",2022-01-01,"82","Thurl Ravenscroft","5"
"83",2022-01-01,"83","Paul McCartney","34"
"84",2022-01-01,"84","Jack Harlow","73"
"85",2022-01-01,"85","Pop Smoke","93"
"86",2022-01-01,"86","Pink Floyd","68"
"87",2022-01-01,"87","Prince","98"
"88",2022-01-01,"88","John Legend","127"
"89",2022-01-01,"89","for KING & COUNTRY","15"
"90",2022-01-01,"90","twenty one pilots","282"
"91",2022-01-01,"91","Giveon","45"
"92",2022-01-01,"92","Luke Bryan","376"
"93",2022-01-01,"93","CKay","12"
"94",2022-01-01,"94","Rod Wave","87"
"95",2022-01-01,"95","Maneskin","26"
"96",2022-01-01,"96","Sia","185"
"97",2022-01-01,"97","Mac Miller","44"
"98",2022-01-01,"98","Lana Del Rey","91"
"99",2022-01-01,"99","Bad Bunny","196"
"100",2022-01-01,"100","Dolly Parton","20"
"101",2021-12-25,"1","Adele","264"
"102",2021-12-25,"2","Juice WRLD","187"
"103",2021-12-25,"3","Taylor Swift","386"
