"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","track_number","album_name","mode_name","key_mode","artist_ids","track_popularity"
"1","album","2020-11-27",2020,0.716,0.522,5,0.0582,0.224,76.993,"36DHxTW2xdr9GG15T9oK9L","Bad Bunny",165199,"EL MUNDO ES MÍO",1,"EL ÚLTIMO TOUR DEL MUNDO","major","F major","4q3ewBCX7sLwd24euuV69X",70
"2","album","2020-11-27",2020,0.811,0.637,10,0.0591,0.471,92.025,"5RubKOuDoPn5Kj5TLVxSxY","Bad Bunny",130013,"TE MUDASTE",2,"EL ÚLTIMO TOUR DEL MUNDO","minor","A# minor","4q3ewBCX7sLwd24euuV69X",84
"3","album","2020-11-27",2020,0.86,0.725,11,0.249,0.375,145.001,"0tjZv2hChdHZCW1zFXpy1J","Bad Bunny",162151,"HOY COBRÉ",3,"EL ÚLTIMO TOUR DEL MUNDO","major","B major","4q3ewBCX7sLwd24euuV69X",74
"4","album","2020-11-27",2020,0.762,0.861,4,0.0652,0.588,133.037,"0Lsis3LB0XAK6XlTHXaJk2","Bad Bunny",213609,"MALDITA POBREZA",4,"EL ÚLTIMO TOUR DEL MUNDO","minor","E minor","4q3ewBCX7sLwd24euuV69X",72
"5","album","2020-11-27",2020,0.856,0.618,7,0.286,0.391,81.993,"2XIc1pqjXV3Cr2BQUGNBck","Bad Bunny;ROSALÍA",203200,"LA NOCHE DE ANOCHE",5,"EL ÚLTIMO TOUR DEL MUNDO","major","G major","4q3ewBCX7sLwd24euuV69X;7ltDVBr6mKbRvohxheJ9h1",86
"6","album","2020-11-27",2020,0.763,0.597,1,0.0416,0.194,126.054,"23XjN1s3DZC8Q9ZwuorYY4","Bad Bunny",139576,"TE DESEO LO MEJOR",6,"EL ÚLTIMO TOUR DEL MUNDO","major","C# major","4q3ewBCX7sLwd24euuV69X",80
"7","album","2020-11-27",2020,0.688,0.881,7,0.0474,0.677,123.013,"5fROvzNghPid8mbKNDYvpJ","Bad Bunny",191526,"YO VISTO ASÍ",7,"EL ÚLTIMO TOUR DEL MUNDO","minor","G minor","4q3ewBCX7sLwd24euuV69X",76
"8","album","2020-11-27",2020,0.584,0.411,10,0.0838,0.412,169.934,"26QApq0cuO9brJigr0C0W4","Bad Bunny",217768,"HACIENDO QUE ME AMAS",8,"EL ÚLTIMO TOUR DEL MUNDO","minor","A# minor","4q3ewBCX7sLwd24euuV69X",82
"9","album","2020-11-27",2020,0.883,0.6,7,0.37,0.691,113.903,"26w9NTiE9NGjW1ZvIOd1So","Bad Bunny",156430,"BOOKER T",9,"EL ÚLTIMO TOUR DEL MUNDO","major","G major","4q3ewBCX7sLwd24euuV69X",80
"10","album","2020-11-27",2020,0.643,0.727,1,0.0389,0.295,90.019,"67ACYA3UI6QMNtHX6b34wX","Bad Bunny",162299,"LA DROGA",10,"EL ÚLTIMO TOUR DEL MUNDO","major","C# major","4q3ewBCX7sLwd24euuV69X",75
