"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","album_name","mode_name","key_mode","artist_ids","track_popularity"
"1","album","2021-09-10",2021,0.576,0.577,6,0.303,0.681,171.153,"1r4cq6ZPidlBrhBC5kpnCp","J Balvin",161400,"F40","JOSE","minor","F# minor","1vyhD5VmyZ7KMfW5gqLgo5",64
"2","album","2021-09-10",2021,0.662,0.788,3,0.205,0.711,179.876,"7iqOIHHEmu6Vhw25GgQ2eA","J Balvin;Sech",170760,"Una Nota","JOSE","minor","D# minor","1vyhD5VmyZ7KMfW5gqLgo5;77ziqFxp5gaInVrF2lj4ht",87
"3","album","2021-09-10",2021,0.782,0.858,8,0.0599,0.832,90.01,"3EgHkFBGUu7NHZspAdiy0D","J Balvin;Yandel",104066,"Te Acuerdas De Mí","JOSE","minor","G# minor","1vyhD5VmyZ7KMfW5gqLgo5;0eHQ9o50hj6ZDNBt6Ys1sD",69
"4","album","2021-09-10",2021,0.924,0.723,8,0.0466,0.643,126.998,"1q0PYXTbDsirp2l74ng6pn","J Balvin;Skrillex",130666,"In Da Getto","JOSE","major","G# major","1vyhD5VmyZ7KMfW5gqLgo5;5he5w2lnU9x7JFhnwcekXX",78
"5","album","2021-09-10",2021,0.716,0.638,10,0.303,0.426,176.022,"4tWOrZqaelCejCT3Th8Phq","J Balvin;Myke Towers",164106,"Billetes De 100","JOSE","minor","A# minor","1vyhD5VmyZ7KMfW5gqLgo5;7iK8PXO48WeuP03g8YR51W",62
"6","album","2021-09-10",2021,0.784,0.702,2,0.05,0.538,92,"0Pe4DpJDmZtOybHgrZ1hyM","J Balvin;Jhay Cortez",247893,"La Venganza","JOSE","minor","D minor","1vyhD5VmyZ7KMfW5gqLgo5;0EFisYRi20PTADoJrifHrz",66
"7","album","2021-09-10",2021,0.851,0.683,5,0.12,0.771,87.979,"2Jq4Ei6P87YbP67asm2rP6","J Balvin",186453,"Vestido","JOSE","minor","F minor","1vyhD5VmyZ7KMfW5gqLgo5",71
"8","album","2021-09-10",2021,0.794,0.793,0,0.0543,0.805,112.999,"05fmJQJp2ODhF8BWhohgb6","J Balvin",198720,"Que Locura","JOSE","minor","C minor","1vyhD5VmyZ7KMfW5gqLgo5",64
"9","album","2021-09-10",2021,0.747,0.665,1,0.0755,0.634,166.006,"6Se3CKRvYOyuzHGdHAooem","J Balvin;Feid",226240,"Bebé Que Bien Te Ves","JOSE","major","C# major","1vyhD5VmyZ7KMfW5gqLgo5;2LRoIwlKmHjgvigdNGBHNo",71
"10","album","2021-09-10",2021,0.682,0.691,0,0.0825,0.587,177.907,"58EEYVahoZAK7crGM6qAwA","J Balvin",194813,"Lo Que Dios Quiera","JOSE","major","C major","1vyhD5VmyZ7KMfW5gqLgo5",65
