"","id","name","popularity","followers.total","genres","type","total_num_songs"
"1","0bxHci3JIhhKA53n8rH3tT","High Contrast",61,177097,"drum and bass;uk dance;uk dnb","non_billboard",NA
"2","1XLjkBxFokuDTlHt0mQkRe","Thomas Gold",57,158031,"big room;edm;electro house;funky tech house;german techno;pop dance;pop edm;progressive electro house;progressive house","non_billboard",NA
"3","2faLHCwToqDd4C53QiWIKj","Moto Blanco",38,1353,NA,"non_billboard",NA
"4","4YrKBkKSVeqDamzBPWVnSJ","Basement Jaxx",59,458066,"alternative dance;big beat;dance pop;electronica;new rave;vocal house","non_billboard",NA
"5","4BTcOR2hEQZQQL5AMo5u10","Rusko",52,275069,"bassline;brostep;classic dubstep;electro house;electronic trap","non_billboard",NA
"6","3fCQnw6VSudXBTN5d2QP2z","Gary Lightbody",64,6758,"british singer-songwriter","non_billboard",NA
"7","0zIn9m85aZQgmL7TscsANA","J.Stax",14,5,NA,"non_billboard",NA
"8","7K5Lm5dxoEwEpOS0Fc3l3s","Anaïs Mitchell",65,49538,"indie folk","non_billboard",NA
"9","4nhsQ3u12To27WM6rqNEa1","ELVIRA",53,860,NA,"non_billboard",NA
"10","1lbp4Rrpi6ug3cGZF9LWXq","Digital Dog",32,551,NA,"non_billboard",NA
"11","0WeELJ2QQlRCpebXcG85Fz","Nathan Chapman",25,210,NA,"non_billboard",NA
"12","5iNrZmtVMtYev5M9yoWpEq","Seeb",73,258959,"dance pop;edm;electro house;norwegian pop;pop;pop dance;pop edm;tropical house","non_billboard",NA
"13","0IvBGOcv9xzgOrgGQGMMgp","Sawyr",30,315,NA,"non_billboard",NA
"14","4we5S2VLjgY9KzIzApL1KI","Ryan Tedder",62,26101,NA,"non_billboard",NA
"15","6cEuCEZu7PAE9ZSzLLc2oQ","R3HAB",81,2292251,"dance pop;dutch house;edm;electro house;pop;pop dance;progressive electro house;slap house;tropical house","non_billboard",NA
"16","6PkSULcbxFKkxdgrmPGAvn","Cécile McLorin Salvant",54,68907,"contemporary vocal jazz;jazz pop;vocal jazz","non_billboard",NA
"17","5V8q61RswIFvxhIfzYVew9","Reese Witherspoon",59,6659,"hollywood","non_billboard",NA
